node_id,zone_id,x_coord,y_coord,macro_node_id,macro_link_id,activity_type,is_boundary
0,,-111.9261189,33.4219342,0,,,
100,1,-111.920003,33.421939,1,,,
101,1,-111.9200032,33.4220968,1,,,
1,,-111.926119,33.422092,0,,,
2,,-111.9264636,33.4220911,0,,,
200,2,-111.9325864,33.4220637,2,,,
201,2,-111.9325854,33.4219059,2,,,
3,,-111.9264626,33.4219333,0,,,
4,,-111.9262155,33.4221392,0,,,
300,3,-111.9262069,33.4272837,3,,,
301,3,-111.9263575,33.4272839,3,,,
5,,-111.9263661,33.4221393,0,,,
6,,-111.9263663,33.4218867,0,,,
400,4,-111.9263653,33.4167442,4,,,
401,4,-111.9262147,33.4167443,4,,,
7,,-111.9262157,33.4218867,0,,,
