link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,geometry,original_link_id,main_node_id,movement_str,TMC
0,3400,3200,,,363.028213715045,4,nan,40.0,3,,"LINESTRING (119.41028 32.3958,119.41012 32.39708,119.41002 32.39792,119.40989 32.39906)",32,,,
1,3201,3401,,,363.63876414562094,4,nan,40.0,3,,"LINESTRING (119.40977 32.39906,119.40989 32.39791,119.40997 32.39708,119.41011 32.39579)",61,,,
2,3402,3500,,,357.88094458349906,3,nan,40.0,3,,"LINESTRING (119.40997 32.39563,119.40823 32.39545,119.40801 32.39542,119.4062 32.39524)",76,,,
3,3403,3000,,,106.1617973824325,4,nan,40.0,3,,"LINESTRING (119.41015 32.3954,119.41025 32.39444)",81,,,
4,3501,3404,,,357.65697091353076,3,nan,40.0,3,,"LINESTRING (119.40621 32.39514,119.40998 32.39553)",100,,,
5,3405,3300,,,838.2693288110997,3,nan,40.0,3,,"LINESTRING (119.41046 32.39557,119.41246 32.39568,119.41274 32.3957,119.41764 32.39601,119.41935 32.39611)",117,,,
6,3301,3406,,,833.9632804335004,3,nan,40.0,3,,"LINESTRING (119.41929 32.39622,119.41763 32.39611,119.41272 32.39581,119.41244 32.39579,119.41096 32.3957,119.41044 32.39567)",118,,,
7,3000,3100,,,367.59923834264134,4,nan,40.0,3,,"LINESTRING (119.41025 32.39444,119.41043 32.3927,119.41044 32.39255,119.4106 32.39128,119.41061 32.39114)",124,,,
8,3101,3407,,,474.1561315688861,4,nan,40.0,3,,"LINESTRING (119.41076 32.39115,119.41062 32.39257,119.4106 32.39271,119.41035 32.39521,119.41033 32.39541)",130,,,
9,3407,3402,,,34.71286338807055,1,nan,40.0,20,,"LINESTRING (119.41033 32.39541,119.40997 32.39563)",,1,NBL,
10,3407,3400,,,43.18710511286407,2,nan,40.0,20,,"LINESTRING (119.41033 32.39541,119.41028 32.3958)",,1,NBT,
11,3407,3405,,,14.684301025559312,1,nan,40.0,20,,"LINESTRING (119.41033 32.39541,119.41046 32.39557)",,1,NBR,
12,3406,3403,,,34.54668670931623,1,nan,40.0,20,,"LINESTRING (119.41044 32.39567,119.41015 32.3954)",,1,WBL,
13,3406,3402,,,44.56632095154868,2,nan,40.0,20,,"LINESTRING (119.41044 32.39567,119.40997 32.39563)",,1,WBT,
14,3406,3400,,,15.705037803026242,1,nan,40.0,20,,"LINESTRING (119.41044 32.39567,119.41028 32.3958)",,1,WBR,
15,3401,3405,,,35.00701561397699,1,nan,40.0,20,,"LINESTRING (119.41011 32.39579,119.41046 32.39557)",,1,SBL,
16,3401,3403,,,43.48795544705621,2,nan,40.0,20,,"LINESTRING (119.41011 32.39579,119.41015 32.3954)",,1,SBT,
17,3401,3402,,,15.729027534484484,1,nan,40.0,20,,"LINESTRING (119.41011 32.39579,119.40997 32.39563)",,1,SBR,
18,3404,3400,,,34.929536323427385,1,nan,40.0,20,,"LINESTRING (119.40998 32.39553,119.41028 32.3958)",,1,EBL,
19,3404,3405,,,44.60598996347361,2,nan,40.0,20,,"LINESTRING (119.40998 32.39553,119.41046 32.39557)",,1,EBT,
20,3404,3403,,,14.879576913601827,1,nan,40.0,20,,"LINESTRING (119.40998 32.39553,119.41015 32.3954)",,1,EBR,
21,3100,3101,,,3.595181295891315,1,nan,40.0,20,,"LINESTRING (119.41061 32.39114,119.41076 32.39115)",,0,SBL,
22,3300,3301,,,7.257327406375473,1,nan,40.0,20,,"LINESTRING (119.41935 32.39611,119.41929 32.39622)",,2,EBR,
23,3200,3201,,,1.32749424161308,1,nan,40.0,20,,"LINESTRING (119.40989 32.39906,119.40977 32.39906)",,3,NBL,
24,3500,3501,,,3.7482886592439733,1,nan,40.0,20,,"LINESTRING (119.4062 32.39524,119.40621 32.39514)",,4,WBL,
