link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,geometry,meso_link_id,cell_type,additional_cost,movement_str
0,0,4,,,7.000000000099993,1,,40.0,,,"LINESTRING (119.41022 32.3958, 119.41021 32.39586)",0,1,0.0,
1,4,8,,,7.0000000001061,1,,40.0,,,"LINESTRING (119.41021 32.39586, 119.41021 32.39592)",0,1,0.0,
2,8,12,,,6.999999999636902,1,,40.0,,,"LINESTRING (119.41021 32.39592, 119.4102 32.39599)",0,1,0.0,
3,12,16,,,7.000000000099993,1,,40.0,,,"LINESTRING (119.4102 32.39599, 119.41019 32.39605)",0,1,0.0,
4,16,20,,,7.0000000001061,1,,40.0,,,"LINESTRING (119.41019 32.39605, 119.41018 32.39611)",0,1,0.0,
5,20,24,,,7.000000000099993,1,,40.0,,,"LINESTRING (119.41018 32.39611, 119.41018 32.39617)",0,1,0.0,
6,24,28,,,6.999999999636902,1,,40.0,,,"LINESTRING (119.41018 32.39617, 119.41017 32.39624)",0,1,0.0,
7,28,32,,,7.0000000001061,1,,40.0,,,"LINESTRING (119.41017 32.39624, 119.41016 32.3963)",0,1,0.0,
8,32,36,,,7.000000000099993,1,,40.0,,,"LINESTRING (119.41016 32.3963, 119.41015 32.39636)",0,1,0.0,
9,36,40,,,7.000000000099993,1,,40.0,,,"LINESTRING (119.41015 32.39636, 119.41014 32.39642)",0,1,0.0,
10,40,44,,,7.0000000001061,1,,40.0,,,"LINESTRING (119.41014 32.39642, 119.41014 32.39649)",0,1,0.0,
11,44,48,,,6.999999999636902,1,,40.0,,,"LINESTRING (119.41014 32.39649, 119.41013 32.39655)",0,1,0.0,
12,48,52,,,7.000000000099993,1,,40.0,,,"LINESTRING (119.41013 32.39655, 119.41012 32.39661)",0,1,0.0,
13,52,56,,,7.0000000001061,1,,40.0,,,"LINESTRING (119.41012 32.39661, 119.41011 32.39668)",0,1,0.0,
14,56,60,,,7.000000000099993,1,,40.0,,,"LINESTRING (119.41011 32.39668, 119.41011 32.39674)",0,1,0.0,
15,60,64,,,6.999999999636902,1,,40.0,,,"LINESTRING (119.41011 32.39674, 119.4101 32.3968)",0,1,0.0,
16,64,68,,,7.000000000099993,1,,40.0,,,"LINESTRING (119.4101 32.3968, 119.41009 32.39686)",0,1,0.0,
17,68,72,,,7.0000000001061,1,,40.0,,,"LINESTRING (119.41009 32.39686, 119.41008 32.39693)",0,1,0.0,
18,72,76,,,7.000000000099993,1,,40.0,,,"LINESTRING (119.41008 32.39693, 119.41007 32.39699)",0,1,0.0,
19,76,216,,,9.904241708480782,1,,40.0,,,"LINESTRING (119.41007 32.39699, 119.41006 32.39708)",0,1,0.0,
20,216,88,,,7.0000358510859915,1,,40.0,,,"LINESTRING (119.41006 32.39708, 119.41006 32.39714)",0,1,0.0,
21,88,92,,,6.999999999964125,1,,40.0,,,"LINESTRING (119.41006 32.39714, 119.41005 32.3972)",0,1,0.0,
22,92,96,,,6.999999999970231,1,,40.0,,,"LINESTRING (119.41005 32.3972, 119.41004 32.39727)",0,1,0.0,
23,96,100,,,6.999999999964125,1,,40.0,,,"LINESTRING (119.41004 32.39727, 119.41003 32.39733)",0,1,0.0,
24,100,104,,,6.999999999970231,1,,40.0,,,"LINESTRING (119.41003 32.39733, 119.41002 32.39739)",0,1,0.0,
25,104,108,,,6.999999999970231,1,,40.0,,,"LINESTRING (119.41002 32.39739, 119.41002 32.39746)",0,1,0.0,
26,108,112,,,6.999999999964125,1,,40.0,,,"LINESTRING (119.41002 32.39746, 119.41001 32.39752)",0,1,0.0,
27,112,116,,,7.000000000433323,1,,40.0,,,"LINESTRING (119.41001 32.39752, 119.41 32.39758)",0,1,0.0,
28,116,120,,,6.999999999964125,1,,40.0,,,"LINESTRING (119.41 32.39758, 119.40999 32.39764)",0,1,0.0,
29,120,124,,,6.999999999970231,1,,40.0,,,"LINESTRING (119.40999 32.39764, 119.40999 32.39771)",0,1,0.0,
30,124,128,,,6.999999999970231,1,,40.0,,,"LINESTRING (119.40999 32.39771, 119.40998 32.39777)",0,1,0.0,
31,128,132,,,6.999999999964125,1,,40.0,,,"LINESTRING (119.40998 32.39777, 119.40997 32.39783)",0,1,0.0,
32,132,220,,,8.983885895120602,1,,40.0,,,"LINESTRING (119.40997 32.39783, 119.40996 32.39791)",0,1,0.0,
33,220,144,,,7.033502354212483,1,,40.0,,,"LINESTRING (119.40996 32.39791, 119.40995 32.39798)",0,1,0.0,
34,144,148,,,6.999999999989751,1,,40.0,,,"LINESTRING (119.40995 32.39798, 119.40995 32.39804)",0,1,0.0,
35,148,152,,,6.999999999989751,1,,40.0,,,"LINESTRING (119.40995 32.39804, 119.40994 32.3981)",0,1,0.0,
36,152,156,,,6.999999999989751,1,,40.0,,,"LINESTRING (119.40994 32.3981, 119.40993 32.39816)",0,1,0.0,
37,156,160,,,6.999999999995119,1,,40.0,,,"LINESTRING (119.40993 32.39816, 119.40993 32.39823)",0,1,0.0,
38,160,164,,,6.999999999989751,1,,40.0,,,"LINESTRING (119.40993 32.39823, 119.40992 32.39829)",0,1,0.0,
39,164,168,,,6.999999999989751,1,,40.0,,,"LINESTRING (119.40992 32.39829, 119.40991 32.39835)",0,1,0.0,
40,168,172,,,6.999999999989751,1,,40.0,,,"LINESTRING (119.40991 32.39835, 119.4099 32.39842)",0,1,0.0,
41,172,176,,,6.999999999989751,1,,40.0,,,"LINESTRING (119.4099 32.39842, 119.4099 32.39848)",0,1,0.0,
42,176,180,,,6.999999999989751,1,,40.0,,,"LINESTRING (119.4099 32.39848, 119.40989 32.39854)",0,1,0.0,
43,180,184,,,6.999999999989751,1,,40.0,,,"LINESTRING (119.40989 32.39854, 119.40988 32.39861)",0,1,0.0,
44,184,188,,,6.999999999989751,1,,40.0,,,"LINESTRING (119.40988 32.39861, 119.40988 32.39867)",0,1,0.0,
45,188,192,,,6.999999999989751,1,,40.0,,,"LINESTRING (119.40988 32.39867, 119.40987 32.39873)",0,1,0.0,
46,192,196,,,6.999999999989751,1,,40.0,,,"LINESTRING (119.40987 32.39873, 119.40986 32.39879)",0,1,0.0,
47,196,200,,,6.999999999995119,1,,40.0,,,"LINESTRING (119.40986 32.39879, 119.40986 32.39886)",0,1,0.0,
48,200,204,,,6.999999999989751,1,,40.0,,,"LINESTRING (119.40986 32.39886, 119.40985 32.39892)",0,1,0.0,
49,204,208,,,6.999999999989751,1,,40.0,,,"LINESTRING (119.40985 32.39892, 119.40984 32.39898)",0,1,0.0,
50,208,212,,,8.17362477663543,1,,40.0,,,"LINESTRING (119.40984 32.39898, 119.40983 32.39906)",0,1,0.0,
51,0,5,,,7.826237921177115,1,,40.0,,,"LINESTRING (119.41022 32.3958, 119.41025 32.39586)",0,2,2.0,
52,4,9,,,7.82623792115669,1,,40.0,,,"LINESTRING (119.41021 32.39586, 119.41024 32.39593)",0,2,2.0,
53,8,13,,,7.826237920741064,1,,40.0,,,"LINESTRING (119.41021 32.39592, 119.41024 32.39599)",0,2,2.0,
54,12,17,,,7.826237921177115,1,,40.0,,,"LINESTRING (119.4102 32.39599, 119.41023 32.39605)",0,2,2.0,
55,16,21,,,7.82623792115669,1,,40.0,,,"LINESTRING (119.41019 32.39605, 119.41022 32.39611)",0,2,2.0,
56,20,25,,,7.826237921177115,1,,40.0,,,"LINESTRING (119.41018 32.39611, 119.41021 32.39618)",0,2,2.0,
57,24,29,,,7.826237920741064,1,,40.0,,,"LINESTRING (119.41018 32.39617, 119.4102 32.39624)",0,2,2.0,
58,28,33,,,7.82623792115669,1,,40.0,,,"LINESTRING (119.41017 32.39624, 119.4102 32.3963)",0,2,2.0,
59,32,37,,,7.826237921177115,1,,40.0,,,"LINESTRING (119.41016 32.3963, 119.41019 32.39637)",0,2,2.0,
60,36,41,,,7.826237921177115,1,,40.0,,,"LINESTRING (119.41015 32.39636, 119.41018 32.39643)",0,2,2.0,
61,40,45,,,7.82623792115669,1,,40.0,,,"LINESTRING (119.41014 32.39642, 119.41017 32.39649)",0,2,2.0,
62,44,49,,,7.826237920741064,1,,40.0,,,"LINESTRING (119.41014 32.39649, 119.41017 32.39655)",0,2,2.0,
63,48,53,,,7.826237921177115,1,,40.0,,,"LINESTRING (119.41013 32.39655, 119.41016 32.39662)",0,2,2.0,
64,52,57,,,7.82623792115669,1,,40.0,,,"LINESTRING (119.41012 32.39661, 119.41015 32.39668)",0,2,2.0,
65,56,61,,,7.826237921177115,1,,40.0,,,"LINESTRING (119.41011 32.39668, 119.41014 32.39674)",0,2,2.0,
66,60,65,,,7.826237920741064,1,,40.0,,,"LINESTRING (119.41011 32.39674, 119.41013 32.3968)",0,2,2.0,
