node_id,x_coord,y_coord,meso_link_id,lane_no,activity_type,is_boundary
0,119.41022,32.3958,0,1,,0
1,119.41026,32.3958,0,2,,0
2,119.4103,32.3958,0,3,,0
3,119.41033,32.39581,0,4,,0
4,119.41021,32.39586,0,1,,0
5,119.41025,32.39586,0,2,,0
6,119.41029,32.39587,0,3,,0
7,119.41033,32.39587,0,4,,0
8,119.41021,32.39592,0,1,,0
9,119.41024,32.39593,0,2,,0
10,119.41028,32.39593,0,3,,0
11,119.41032,32.39593,0,4,,0
12,119.4102,32.39599,0,1,,0
13,119.41024,32.39599,0,2,,0
14,119.41027,32.39599,0,3,,0
15,119.41031,32.396,0,4,,0
16,119.41019,32.39605,0,1,,0
17,119.41023,32.39605,0,2,,0
18,119.41027,32.39605,0,3,,0
19,119.4103,32.39606,0,4,,0
20,119.41018,32.39611,0,1,,0
21,119.41022,32.39611,0,2,,0
22,119.41026,32.39612,0,3,,0
23,119.41029,32.39612,0,4,,0
24,119.41018,32.39617,0,1,,0
25,119.41021,32.39618,0,2,,0
26,119.41025,32.39618,0,3,,0
27,119.41029,32.39618,0,4,,0
28,119.41017,32.39624,0,1,,0
29,119.4102,32.39624,0,2,,0
30,119.41024,32.39624,0,3,,0
31,119.41028,32.39625,0,4,,0
32,119.41016,32.3963,0,1,,0
33,119.4102,32.3963,0,2,,0
34,119.41023,32.39631,0,3,,0
35,119.41027,32.39631,0,4,,0
36,119.41015,32.39636,0,1,,0
37,119.41019,32.39637,0,2,,0
38,119.41023,32.39637,0,3,,0
39,119.41026,32.39637,0,4,,0
40,119.41014,32.39642,0,1,,0
41,119.41018,32.39643,0,2,,0
42,119.41022,32.39643,0,3,,0
43,119.41026,32.39643,0,4,,0
44,119.41014,32.39649,0,1,,0
45,119.41017,32.39649,0,2,,0
46,119.41021,32.39649,0,3,,0
47,119.41025,32.3965,0,4,,0
48,119.41013,32.39655,0,1,,0
49,119.41017,32.39655,0,2,,0
50,119.4102,32.39656,0,3,,0
51,119.41024,32.39656,0,4,,0
52,119.41012,32.39661,0,1,,0
53,119.41016,32.39662,0,2,,0
54,119.4102,32.39662,0,3,,0
55,119.41023,32.39662,0,4,,0
56,119.41011,32.39668,0,1,,0
57,119.41015,32.39668,0,2,,0
58,119.41019,32.39668,0,3,,0
59,119.41022,32.39669,0,4,,0
60,119.41011,32.39674,0,1,,0
61,119.41014,32.39674,0,2,,0
62,119.41018,32.39675,0,3,,0
63,119.41022,32.39675,0,4,,0
64,119.4101,32.3968,0,1,,0
65,119.41013,32.3968,0,2,,0
66,119.41017,32.39681,0,3,,0
67,119.41021,32.39681,0,4,,0
68,119.41009,32.39686,0,1,,0
69,119.41013,32.39687,0,2,,0
70,119.41016,32.39687,0,3,,0
71,119.4102,32.39687,0,4,,0
72,119.41008,32.39693,0,1,,0
73,119.41012,32.39693,0,2,,0
74,119.41016,32.39693,0,3,,0
75,119.41019,32.39694,0,4,,0
76,119.41007,32.39699,0,1,,0
77,119.41011,32.39699,0,2,,0
78,119.41015,32.397,0,3,,0
79,119.41019,32.397,0,4,,0
88,119.41006,32.39714,0,1,,0
89,119.41009,32.39714,0,2,,0
90,119.41013,32.39715,0,3,,0
91,119.41017,32.39715,0,4,,0
92,119.41005,32.3972,0,1,,0
93,119.41008,32.39721,0,2,,0
94,119.41012,32.39721,0,3,,0
95,119.41016,32.39721,0,4,,0
96,119.41004,32.39727,0,1,,0
97,119.41008,32.39727,0,2,,0
98,119.41011,32.39727,0,3,,0
99,119.41015,32.39728,0,4,,0
100,119.41003,32.39733,0,1,,0
101,119.41007,32.39733,0,2,,0
102,119.41011,32.39734,0,3,,0
103,119.41014,32.39734,0,4,,0
104,119.41002,32.39739,0,1,,0
105,119.41006,32.3974,0,2,,0
106,119.4101,32.3974,0,3,,0
107,119.41014,32.3974,0,4,,0
108,119.41002,32.39746,0,1,,0
109,119.41005,32.39746,0,2,,0
